,,clusters,pID,area,n,Price Q1,Price Q2,Price Q3,QCoD,segmentation
0,92,0,92,1763.8405315188195,2.0,2998.1119384765625,3343.182861328125,3688.2537841796875,0.10321628734196082,MT8cls5sw
0,93,0,93,106.55182010184473,1.0,3288.69067382813,3288.69067382813,3288.69067382813,0.0,MT8cls5sw
0,94,0,94,122.92732832121645,1.0,3581.31591796875,3581.31591796875,3581.31591796875,0.0,MT8cls5sw
0,95,0,95,145.24929359458724,1.0,3415.03002929688,3415.03002929688,3415.03002929688,0.0,MT8cls5sw
0,96,0,96,384.2417841409364,1.0,3323.16909179688,3323.16909179688,3323.16909179688,0.0,MT8cls5sw
0,97,0,97,305.2340560298128,1.0,3224.63395182292,3224.63395182292,3224.63395182292,0.0,MT8cls5sw
0,98,0,98,1651.3863985041871,1.0,3684.78759765625,3684.78759765625,3684.78759765625,0.0,MT8cls5sw
0,99,0,99,1038.8662214382932,1.0,3330.8883734809,3330.8883734809,3330.8883734809,0.0,MT8cls5sw
0,100,0,100,1155.562422545813,1.0,2956.96376665901,2956.96376665901,2956.96376665901,0.0,MT8cls5sw
0,101,0,101,793.9157748209659,1.0,2792.78666548295,2792.78666548295,2792.78666548295,0.0,MT8cls5sw
0,102,0,102,84.44385530387866,1.0,2716.17431640625,2716.17431640625,2716.17431640625,0.0,MT8cls5sw
0,103,0,103,284.8564203497474,1.0,3886.52308872768,3886.52308872768,3886.52308872768,0.0,MT8cls5sw
0,104,0,104,34617.17585435057,43.0,2204.7310791015598,2351.6669921875,2505.719775390625,0.06389806529921083,MT8cls5sw
0,105,0,105,886.9723469193466,1.0,2541.55575959579,2541.55575959579,2541.55575959579,0.0,MT8cls5sw
0,106,0,106,407.7307579883758,1.0,2454.44750976563,2454.44750976563,2454.44750976563,0.0,MT8cls5sw
0,107,0,107,123.27294286737175,1.0,1831.13806152344,1831.13806152344,1831.13806152344,0.0,MT8cls5sw
0,108,0,108,56.991436924810124,1.0,2350.28100585938,2350.28100585938,2350.28100585938,0.0,MT8cls5sw
0,109,0,109,197170.33336364708,431.0,1896.537896728515,2024.83180067274,2157.9560546875,0.06447614945082991,MT8cls5sw
0,110,0,110,1203.5311500659127,,,,,,MT8cls5sw
1,0,1,111,13021.6043306526,38.0,3787.745849609375,4103.599731445315,4404.9747314453125,0.07533869558095911,MT8cls5sw
1,1,1,112,187.50824120324998,1.0,4258.20751953125,4258.20751953125,4258.20751953125,0.0,MT8cls5sw
1,2,1,113,16473.06868422705,23.0,4226.879760742189,4703.46484375,4837.2943727979455,0.0673436545969523,MT8cls5sw
1,3,1,114,22446966.95770032,8352.0,2737.2978515625,3468.8546142578152,4099.0665283203125,0.19919486456354682,MT8cls5sw
1,4,1,115,296.0611228143718,1.0,3695.5053507487,3695.5053507487,3695.5053507487,0.0,MT8cls5sw
1,5,1,116,434.75162357077363,2.0,3822.320600237165,3891.2904750279,3960.260349818635,0.017724165089536406,MT8cls5sw
1,6,1,117,897.171316275482,3.0,3501.69165039063,3618.81909179688,3833.4975136204803,0.04523480660291636,MT8cls5sw
