,clusters,area,n,Price Q1,Price Q2,Price Q3,QCoD,segmentation
15,15,1250949.496457502,1046.0,3419.428314208987,3810.9288940429697,4240.325952148438,,barris
16,16,650526.5067834462,1104.0,4150.430511474608,4405.533677045035,4730.978816441129,,barris
17,17,562465.6929553462,700.0,3385.976989746095,3659.249443359375,3916.801359757135,,barris
18,18,1308733.4138545075,1950.0,3067.6142490931925,3273.9833984375,3508.598885975717,,barris
19,19,384183.6829417842,656.0,3099.2518365616174,3393.2306431361603,3665.2659912109375,,barris
20,20,939990.4841699736,1771.0,2337.03948974609,2486.40087890625,2714.7640380859402,,barris
21,21,337544.7119036562,726.0,2634.16033935547,2942.488540649415,3247.6446456909175,,barris
22,22,1681203.6621105536,276.0,2854.243569510325,3084.3929443359402,3454.7307189941375,,barris
23,23,2055246.60227912,89.0,2696.83044988459,2816.11172250601,2908.40087890625,,barris
24,24,744530.9287314165,58.0,3771.75708007813,4074.446740722655,4280.606681696572,,barris
25,25,178491.02589735264,112.0,2464.28662109375,2714.5615234375,3050.9665527343777,,barris
26,26,657222.60567865,961.0,3490.83184814453,3760.79554578993,4042.0517578125,,barris
27,27,3070018.026397807,1748.0,2895.0967529296877,3171.8975830078152,3485.513387044275,,barris
28,28,564280.056380105,954.0,2631.7385223388674,3020.0935726768103,3287.8197804768874,,barris
29,29,836824.4376544681,666.0,2542.0660196940153,2817.83613920666,3040.3031608179977,,barris
30,30,354212.69247215067,307.0,2350.72610909598,2571.66311035156,2718.241732788085,,barris
31,31,353224.68900956155,470.0,3046.6610374450725,3331.2267049153697,3623.690382603235,,barris
32,32,648389.0343090482,494.0,3558.6760192871097,3812.60433812635,4157.417498136825,,barris
33,33,1321188.1142776783,3397.0,4368.84387207031,4661.78377278646,4971.369140625,,barris
34,34,409927.4547425651,673.0,3154.16538085938,3475.04863630022,3747.88290405273,,barris
35,35,572212.8051672535,486.0,3006.8693603515676,3339.5540313720703,3535.11763366342,,barris
36,36,414589.53577569145,845.0,3223.74731445313,3563.70483398438,3816.29961286272,,barris
37,37,1094643.3592429527,2039.0,3343.0722698343197,3633.63525390625,3919.67489478702,,barris
